lang,file,core_extended,speaker,wd_ID,wd,start,end,ref,tx,ft,mb_ID,mb,doreco-mb-algn,ps,gl,ph_ID,ph
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w1,<p:>,0,1.657,<p:>,<p:>,<p:>,m1,<p:>,,<p:>,<p:>,p1,<p:>
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w2,gǁain,1.657,1.972,0001_DoReCo_doreco_nngg1234_NB041016-01_A,"gǁain tcuinya a nǀaa nǁang,",hyena sits and watches the house,m2,gǁain,,n,brown.hyena,p2 p3 p4,|\|\_v a~ i~
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w3,cuinya,1.972,2.49,0001_DoReCo_doreco_nngg1234_NB041016-01_A,"gǁain tcuinya a nǀaa nǁang,",hyena sits and watches the house,m3 m4,suin -a,,vitr -vsf,sit.down -?,p5 p6 p7 p8,tS u~ i~ a
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w4,a,2.49,2.63,0001_DoReCo_doreco_nngg1234_NB041016-01_A,"gǁain tcuinya a nǀaa nǁang,",hyena sits and watches the house,m5,a,,pro,2SG,p9,a
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w5,nǀaa,2.63,2.93,0001_DoReCo_doreco_nngg1234_NB041016-01_A,"gǁain tcuinya a nǀaa nǁang,",hyena sits and watches the house,m6,nǀaa,,vatr,see,p10 p11,|\~ a
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w6,nǁang,2.93,3.3,0001_DoReCo_doreco_nngg1234_NB041016-01_A,"gǁain tcuinya a nǀaa nǁang,",hyena sits and watches the house,m7,nǁang,,n,house,p12 p13 p14,|\|\~ a~ N
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w7,<p:>,3.3,4.791,<p:>,<p:>,<p:>,m8,<p:>,,<p:>,<p:>,p15,<p:>
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w8,ng,4.791,5.06,0002_DoReCo_doreco_nngg1234_NB041016-01_A,ng ǀai ng roomsi ng ǁʼaaʼa,"I take the cream, I bring (it) toe ...",m9,ng,,pro,1SG,p16,N
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w9,ǀai,5.06,5.2,0002_DoReCo_doreco_nngg1234_NB041016-01_A,ng ǀai ng roomsi ng ǁʼaaʼa,"I take the cream, I bring (it) toe ...",m10,ǀii,,vtr,take,p17 p18 p19,|\ a i
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w10,ng,5.2,5.31,0002_DoReCo_doreco_nngg1234_NB041016-01_A,ng ǀai ng roomsi ng ǁʼaaʼa,"I take the cream, I bring (it) toe ...",m11,ng,,part,OBL,p20,N
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w11,roomsi,5.31,5.73,0002_DoReCo_doreco_nngg1234_NB041016-01_A,ng ǀai ng roomsi ng ǁʼaaʼa,"I take the cream, I bring (it) toe ...",m12 m13,room -si,,n -nsf,cream -LOAN,p21 p22 p23 p24 p25,4 o m s i
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w12,ng,5.73,5.84,0002_DoReCo_doreco_nngg1234_NB041016-01_A,ng ǀai ng roomsi ng ǁʼaaʼa,"I take the cream, I bring (it) toe ...",m14,ng,,pro,1SG,p26,N
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w13,ǁʼaaʼa,5.84,6.34,0002_DoReCo_doreco_nngg1234_NB041016-01_A,ng ǀai ng roomsi ng ǁʼaaʼa,"I take the cream, I bring (it) toe ...",m15,ǁʼaeʼi,,vtr,?take.away,p27 p28 p29 p30,|\|\_> a ? a
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w14,<p:>,6.34,6.637,<p:>,<p:>,<p:>,m16,<p:>,,<p:>,<p:>,p31,<p:>
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w15,ng,6.637,6.718,0003_DoReCo_doreco_nngg1234_NB041016-01_A,"ng stasie,",to the station,m17,ng,,part,OBL,p32,N
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w16,<<fm>stasie>,6.718,7.239,0003_DoReCo_doreco_nngg1234_NB041016-01_A,"ng stasie,",to the station,m18,stasie,,n,station,p33,<p:>
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w17,<p:>,7.239,9.054,<p:>,<p:>,<p:>,m19,<p:>,,<p:>,<p:>,p34,<p:>
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w18,a,9.054,9.16,0004_DoReCo_doreco_nngg1234_NB041016-01_A,"a nau hooke ng ki a, ng si moo au xa ǃʼoasi nǁang,","possibly meaning: ""when I come back, I want to meet you here (as) you guard the house'",m20,a,,part,CONN,p35,a
